Month,Transaction,Smartcard.Type,Action.Reason,Number.of.transactions
2012-12,Replace Smartcard,Photo Identification Card,Expired,1
2013-01,Replace Smartcard,Driver Licence Card,Condition Change,1644
2013-01,Replace Smartcard,Driver Licence Card,Managers Approval,819
2013-01,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,23
2013-01,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,89
2013-01,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,3
2013-01,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,39
2013-01,Replace Smartcard,Industry Authority Card,Lost,54
2013-01,Replace Smartcard,Driver Licence Card,Defective,16
2013-01,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,8
2013-01,Replace Smartcard,Industry Authority Card,Faulty,1
2013-01,Replace Smartcard,Photo Identification Card,Expired,2
2013-01,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2013-02,Replace Smartcard,Driver Licence Card,Stolen,1272
2013-02,Replace Smartcard,Industry Authority Card,Managers Approval,12
2013-02,Replace Smartcard,Photo Identification Card,Disaster Relief,5
2013-02,Replace Smartcard,Driver Licence Card,Damaged,126
2013-02,Replace Smartcard,Photo Identification Card,Damaged,31
2013-02,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,46
2013-02,Replace Smartcard,Photo Identification Card,Merged,1
2013-03,Replace Smartcard,Driver Licence Card,Defective,11
2013-03,Replace Smartcard,Photo Identification Card,Defective,4
2013-03,Replace Smartcard,Photo Identification Card,Disaster Relief,6
2013-03,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,43
2013-03,Replace Smartcard,Photo Identification Card,Faulty,6
2013-04,Replace Smartcard,Driver Licence Card,Stolen,1239
2013-04,Replace Smartcard,Industry Authority Card,Change Customer Details,19
2013-04,Replace Smartcard,Industry Authority Card,Stolen,14
2013-04,Replace Smartcard,Photo Identification Card,Lost,510
2013-04,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,81
2013-04,Replace Smartcard,Driver Licence Card,Faulty,218
2013-04,Replace Smartcard,Photo Identification Card,Change Customer Details,154
2013-04,Replace Smartcard,Photo Identification Card,Stolen,100
2013-05,Replace Smartcard,Photo Identification Card,Stolen,91
2013-05,Replace Smartcard,Photo Identification Card,Change Customer Details,168
2013-05,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,23
2013-05,Replace Smartcard,Industry Authority Card,Destroyed,2
2013-05,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2013-06,Replace Smartcard,Driver Licence Card,Managers Approval,681
2013-06,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,164
2013-06,Replace Smartcard,Photo Identification Card,Merged,2
2013-06,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2013-06,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2013-07,Replace Smartcard,Driver Licence Card,Faulty,199
2013-07,Replace Smartcard,Photo Identification Card,Damaged,34
2013-07,Replace Smartcard,Marine Licence Ind Card,Managers Approval,8
2013-07,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,12
2013-08,Replace Smartcard,Driver Licence Card,Destroyed,55
2013-08,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,60
2013-08,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,15
2013-08,Replace Smartcard,Industry Authority Card,Stolen,13
2013-08,Replace Smartcard,Photo Identification Card,Expired,2
2013-08,Replace Smartcard,Industry Authority Card,Managers Approval,12
2013-09,Replace Smartcard,Driver Licence Card,Stolen,1125
2013-09,Replace Smartcard,Photo Identification Card,Damaged,22
2013-09,Replace Smartcard,Industry Authority Card,Destroyed,1
2013-09,Replace Smartcard,Photo Identification Card,Faulty,4
2013-09,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,207
2013-09,Replace Smartcard,Driver Licence Card,Defective,6
2013-10,Replace Smartcard,Driver Licence Card,Damaged,108
2013-10,Replace Smartcard,Photo Identification Card,Lost,561
2013-10,Replace Smartcard,Photo Identification Card,Destroyed,13
2013-10,Replace Smartcard,Industry Authority Card,Change Customer Details,19
2013-10,Replace Smartcard,Photo Identification Card,Defective,2
2013-10,Replace Smartcard,Industry Authority Card,Faulty,1
2013-11,Replace Smartcard,Photo Identification Card,Merged,1
2013-11,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,18
2013-11,Replace Smartcard,Marine Licence Ind Card,Lost,8
2013-11,Replace Smartcard,Photo Identification Card,Destroyed,6
2013-12,Replace Smartcard,Driver Licence Card,Condition Change,1662
2013-12,Replace Smartcard,Driver Licence Card,Managers Approval,642
2013-12,Replace Smartcard,Photo Identification Card,Damaged,23
2013-12,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,27
2013-12,Replace Smartcard,Photo Identification Card,Faulty,3
2013-12,Replace Smartcard,Photo Identification Card,Expired,1
2013-12,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,8
2013-12,Replace Smartcard,Photo Identification Card,Merged,1
2014-01,Replace Smartcard,Driver Licence Card,Lost,4090
2014-01,Replace Smartcard,Photo Identification Card,Stolen,89
2014-01,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,7
2014-01,Replace Smartcard,Industry Authority Card,Stolen,8
2014-01,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,2
2014-02,Replace Smartcard,Driver Licence Card,Damaged,89
2014-02,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,219
2014-02,Replace Smartcard,Industry Authority Card,Lost,31
2014-02,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,19
2014-03,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,27
2014-03,Replace Smartcard,Photo Identification Card,Merged,2
2014-03,Replace Smartcard,Industry Authority Card,Change Customer Details,25
2014-03,Replace Smartcard,Photo Identification Card,Expired,1
2014-04,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,21
2014-04,Replace Smartcard,Industry Authority Card,Condition Change,6
2014-04,Replace Smartcard,Driver Licence Card,Damaged,70
2014-04,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,8
2014-04,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,23
2014-04,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,43
2014-04,Replace Smartcard,Photo Identification Card,Damaged,17
2014-04,Replace Smartcard,Industry Authority Card,Stolen,9
2014-04,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,7
2014-04,Replace Smartcard,Photo Identification Card,Faulty,5
2014-04,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2014-05,Replace Smartcard,Photo Identification Card,Lost,477
2014-05,Replace Smartcard,Driver Licence Card,Merged,1
2014-05,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2014-07,Replace Smartcard,Driver Licence Card,Condition Change,2046
2014-07,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,35
2014-07,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,22
2014-07,Replace Smartcard,Photo Identification Card,Destroyed,10
2014-07,Replace Smartcard,Marine Licence Ind Card,Lost,12
2014-07,Replace Smartcard,Industry Authority Card,Condition Change,6
2014-07,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,15
2014-07,Replace Smartcard,Industry Authority Card,Managers Approval,11
2014-07,Replace Smartcard,Marine Licence Ind Card,Managers Approval,4
2014-08,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,27
2014-08,Replace Smartcard,Marine Licence Ind Card,Lost,8
2014-08,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,2
2014-09,Replace Smartcard,Driver Licence Card,Faulty,144
2014-09,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,13
2014-09,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,6
2014-09,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,194
2014-09,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,26
2014-09,Replace Smartcard,Driver Licence Card,Defective,7
2014-10,Replace Smartcard,Photo Identification Card,Stolen,80
2014-10,Replace Smartcard,Industry Authority Card,Change Customer Details,26
2014-10,Replace Smartcard,Driver Licence Card,Damaged,84
2014-10,Replace Smartcard,Photo Identification Card,Damaged,22
2014-10,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,11
2014-10,Replace Smartcard,Photo Identification Card,Expired,1
2014-10,Replace Smartcard,Industry Authority Card,Condition Change,7
2014-10,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,4
2014-11,Replace Smartcard,Driver Licence Card,Lost,3439
2014-11,Replace Smartcard,Driver Licence Card,Managers Approval,424
2014-11,Replace Smartcard,Driver Licence Card,Condition Change,1792
2014-11,Replace Smartcard,Photo Identification Card,Lost,411
2014-11,Replace Smartcard,Photo Identification Card,Stolen,59
2014-11,Replace Smartcard,Marine Licence Ind Card,Managers Approval,5
2014-11,Replace Smartcard,Industry Authority Card,Condition Change,2
2014-11,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,4
2014-12,Replace Smartcard,Driver Licence Card,Change Customer Details,2026
2014-12,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1074
2014-12,Replace Smartcard,Driver Licence Card,Damaged,79
2014-12,Replace Smartcard,Photo Identification Card,Destroyed,5
2014-12,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2014-12,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,8
2015-01,Replace Smartcard,Photo Identification Card,Damaged,16
2015-01,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,33
2015-01,Replace Smartcard,Marine Licence Ind Card,Managers Approval,10
2015-01,Replace Smartcard,Photo Identification Card,Destroyed,11
2015-02,Replace Smartcard,Driver Licence Card,Lost,3480
2015-02,Replace Smartcard,Driver Licence Card,Change Customer Details,2124
2015-02,Replace Smartcard,Photo Identification Card,Lost,431
2015-02,Replace Smartcard,Driver Licence Card,Managers Approval,459
2015-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,12
2015-02,Replace Smartcard,Driver Licence Card,Damaged,55
2015-02,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,7
2015-02,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2015-02,Replace Smartcard,Marine Licence Ind Card,Condition Change,2
2015-02,Replace Smartcard,Industry Authority Card,Damaged,1
2015-03,Replace Smartcard,Driver Licence Card,Faulty,113
2015-03,Replace Smartcard,Photo Identification Card,Change Customer Details,147
2015-03,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,4
2015-03,Replace Smartcard,Photo Identification Card,Faulty,7
2015-03,Replace Smartcard,Driver Licence Card,Disaster Relief,4
2015-04,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1232
2015-04,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,10
2015-04,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,151
2015-04,Replace Smartcard,Industry Authority Card,Change Customer Details,28
2015-04,Replace Smartcard,Marine Licence Ind Card,Managers Approval,8
2015-04,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,12
2015-04,Replace Smartcard,Industry Authority Card,Stolen,10
2015-04,Replace Smartcard,Photo Identification Card,Expired,1
2015-05,Replace Smartcard,Driver Licence Card,Damaged,67
2015-05,Replace Smartcard,Industry Authority Card,Stolen,12
2015-05,Replace Smartcard,Marine Licence Ind Card,Lost,6
2015-05,Replace Smartcard,Driver Licence Card,Disaster Relief,1
2015-06,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,18
2015-06,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,56
2015-06,Replace Smartcard,Photo Identification Card,Merged,3
2015-06,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2015-06,Replace Smartcard,Photo Identification Card,Expired,4
2015-06,Replace Smartcard,Photo Identification Card,Faulty,2
2021-01,Replace Smartcard,Marine Licence Ind Card,Facial Image Is Not A True Likeness,1
2021-01,Replace Smartcard,Photo Identification Card,Faulty,6
2015-07,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,26
2015-07,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,11
2015-07,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,65
2015-07,Replace Smartcard,Industry Authority Card,Lost,30
2015-07,Replace Smartcard,Photo Identification Card,Destroyed,9
2021-02,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,9097
2021-02,Replace Smartcard,Driver Licence Card,Stolen,1085
2021-02,Replace Smartcard,Photo Identification Card,Lost,561
2021-02,Replace Smartcard,Industry Authority Card,Change Customer Details,24
2021-02,Replace Smartcard,Driver Licence Card,Destroyed,160
2021-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,63
2021-02,Replace Smartcard,Driver Licence Card,Faulty,10
2021-02,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,19
2021-02,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,28
2021-02,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,7
2021-02,Replace Smartcard,Photo Identification Card,Damaged,22
2021-02,Replace Smartcard,Marine Licence Ind Card,Destroyed,2
2015-08,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,164
2015-08,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,13
2015-08,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,47
2015-08,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,15
2021-03,Replace Smartcard,Driver Licence Card,Stolen,1230
2021-03,Replace Smartcard,Photo Identification Card,Lost,668
2021-03,Replace Smartcard,Photo Identification Card,Destroyed,13
2021-03,Replace Smartcard,Driver Licence Card,Merged,9
2015-08,Replace Smartcard,Photo Identification Card,Expired,2
2015-08,Replace Smartcard,Photo Identification Card,Merged,1
2015-09,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,16
2015-09,Replace Smartcard,Driver Licence Card,Stolen,1065
2015-09,Replace Smartcard,Driver Licence Card,Faulty,103
2015-09,Replace Smartcard,Photo Identification Card,Stolen,84
2015-09,Replace Smartcard,Driver Licence Card,Damaged,82
2015-09,Replace Smartcard,Industry Authority Card,Condition Change,6
2015-09,Replace Smartcard,Photo Identification Card,Expired,2
2015-10,Replace Smartcard,Driver Licence Card,Condition Change,2440
2015-10,Replace Smartcard,Photo Identification Card,Lost,485
2015-10,Replace Smartcard,Marine Licence Ind Card,Lost,7
2015-10,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,36
2015-10,Replace Smartcard,Photo Identification Card,Damaged,32
2015-10,Replace Smartcard,Industry Authority Card,Stolen,9
2015-10,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,6
2015-12,Replace Smartcard,Driver Licence Card,Lost,4206
2015-10,Replace Smartcard,Photo Identification Card,Merged,3
2021-05,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,20
2021-05,Replace Smartcard,Industry Authority Card,Change Customer Details,21
2015-10,Replace Smartcard,Marine Licence Ind Card,Damaged,1
2015-11,Replace Smartcard,Driver Licence Card,Lost,3965
2015-11,Replace Smartcard,Photo Identification Card,Change Customer Details,180
2015-11,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,30
2015-12,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1239
2015-12,Replace Smartcard,Photo Identification Card,Managers Approval,18
2015-12,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,27
2021-06,Replace Smartcard,Driver Licence Card,Destroyed,211
2021-06,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,27
2021-06,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,40
2021-06,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,20
2021-07,Replace Smartcard,Driver Licence Card,Condition Change,3438
2021-06,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,4
2021-06,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,1
2015-12,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,25
2015-12,Replace Smartcard,Marine Licence Ind Card,Lost,16
2021-07,Replace Smartcard,Marine Licence Ind Card,Condition Change,3
2016-01,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,10
2016-01,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,11
2016-02,Replace Smartcard,Photo Identification Card,Change Customer Details,177
2016-02,Replace Smartcard,Industry Authority Card,Change Customer Details,33
2016-02,Replace Smartcard,Marine Licence Ind Card,Lost,5
2021-08,Replace Smartcard,Driver Licence Card,Damaged,27
2021-08,Replace Smartcard,Marine Licence Ind Card,Lost,5
2021-09,Replace Smartcard,Photo Identification Card,Lost,569
2021-09,Replace Smartcard,Driver Licence Card,Merged,13
2021-09,Replace Smartcard,Industry Authority Card,Change Customer Details,31
2021-09,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,18
2021-09,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2016-03,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,133
2016-03,Replace Smartcard,Photo Identification Card,Lost,468
2016-03,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,5
2016-03,Replace Smartcard,Driver Licence Card,Damaged,60
2016-03,Replace Smartcard,Photo Identification Card,Managers Approval,21
2016-03,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,11
2021-10,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,3
2021-10,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,82
2021-10,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,30
2021-10,Replace Smartcard,Driver Licence Card,Damaged,21
2021-10,Replace Smartcard,Marine Licence Ind Card,Lost,6
2021-10,Replace Smartcard,Marine Licence Ind Card,Managers Approval,5
2016-04,Replace Smartcard,Driver Licence Card,Lost,3782
2016-04,Replace Smartcard,Photo Identification Card,Damaged,26
2016-04,Replace Smartcard,Photo Identification Card,Lost,463
2016-04,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,2
2016-04,Replace Smartcard,Industry Authority Card,Change Customer Details,34
2016-04,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,3
2016-04,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2021-11,Replace Smartcard,Driver Licence Card,Change Customer Details,2503
2021-11,Replace Smartcard,Photo Identification Card,Change Customer Details,215
2021-11,Replace Smartcard,Driver Licence Card,Damaged,32
2021-11,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,17
2016-04,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2016-05,Replace Smartcard,Industry Authority Card,Stolen,12
2016-05,Replace Smartcard,Industry Authority Card,Managers Approval,12
2016-05,Replace Smartcard,Industry Authority Card,Faulty,1
2016-06,Replace Smartcard,Driver Licence Card,Managers Approval,344
2016-06,Replace Smartcard,Industry Authority Card,Managers Approval,14
2016-06,Replace Smartcard,Photo Identification Card,Destroyed,13
2021-12,Replace Smartcard,Driver Licence Card,Lost,6714
2021-12,Replace Smartcard,Industry Authority Card,Managers Approval,8
2021-12,Replace Smartcard,Driver Licence Card,Managers Approval,186
2021-12,Replace Smartcard,Photo Identification Card,Stolen,73
2021-12,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,35
2021-12,Replace Smartcard,Marine Licence Ind Card,Managers Approval,5
2021-12,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,83
2022-01,Replace Smartcard,Driver Licence Card,Lost,5970
2022-01,Replace Smartcard,Photo Identification Card,Lost,410
2021-12,Replace Smartcard,Marine Licence Ind Card,Facial Image Is Not A True Likeness,1
2022-01,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,19
2022-01,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,76
2021-12,Replace Smartcard,Marine Licence Ind Card,Destroyed,2
2021-12,Replace Smartcard,Marine Licence Ind Card,Lost,13
2022-01,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,5
2022-01,Replace Smartcard,Marine Licence Ind Card,Expired,4
2016-06,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,9
2016-06,Replace Smartcard,Marine Licence Ind Card,Managers Approval,10
2016-06,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,4
2022-01,Replace Smartcard,Photo Identification Card,Faulty,2
2016-07,Replace Smartcard,Driver Licence Card,Lost,4237
2016-07,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,132
2022-02,Replace Smartcard,Driver Licence Card,Lost,5584
2022-02,Replace Smartcard,Photo Identification Card,Lost,473
2022-02,Replace Smartcard,Photo Identification Card,Damaged,15
2022-02,Replace Smartcard,Photo Identification Card,Managers Approval,23
2016-08,Replace Smartcard,Photo Identification Card,Stolen,80
2016-08,Replace Smartcard,Driver Licence Card,Change Customer Details,2206
2016-08,Replace Smartcard,Industry Authority Card,Change Customer Details,33
2016-08,Replace Smartcard,Photo Identification Card,Damaged,35
2016-09,Replace Smartcard,Driver Licence Card,Condition Change,2838
2016-09,Replace Smartcard,Industry Authority Card,Change Customer Details,31
2022-03,Replace Smartcard,Driver Licence Card,Change Customer Details,2155
2022-03,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1641
2022-03,Replace Smartcard,Photo Identification Card,Managers Approval,26
2022-03,Replace Smartcard,Photo Identification Card,Destroyed,13
2022-03,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,8
2022-03,Replace Smartcard,Photo Identification Card,Merged,3
2022-03,Replace Smartcard,Industry Authority Card,Merged,1
2016-09,Replace Smartcard,Photo Identification Card,Damaged,23
2016-09,Replace Smartcard,Photo Identification Card,Managers Approval,21
2016-09,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,8
2016-09,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,1
2016-09,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,12
2016-10,Replace Smartcard,Photo Identification Card,Change Customer Details,189
2016-10,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,27
2016-10,Replace Smartcard,Driver Licence Card,Managers Approval,220
2016-10,Replace Smartcard,Driver Licence Card,Faulty,66
2016-10,Replace Smartcard,Photo Identification Card,Managers Approval,21
2016-10,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,106
2016-10,Replace Smartcard,Photo Identification Card,Faulty,9
2016-11,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,14
2016-11,Replace Smartcard,Driver Licence Card,Faulty,70
2016-11,Replace Smartcard,Industry Authority Card,Condition Change,5
2016-11,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2016-12,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,28
2016-12,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,12
2016-12,Replace Smartcard,Photo Identification Card,Damaged,14
2016-12,Replace Smartcard,Marine Licence Ind Card,Managers Approval,7
2017-01,Replace Smartcard,Marine Licence Ind Card,Lost,7
2017-01,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,43
2017-01,Replace Smartcard,Industry Authority Card,Stolen,24
2017-02,Replace Smartcard,Driver Licence Card,Change Customer Details,1927
2017-02,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,67
2017-02,Replace Smartcard,Driver Licence Card,Destroyed,100
2017-02,Replace Smartcard,Industry Authority Card,Managers Approval,18
2017-01,Replace Smartcard,Industry Authority Card,Faulty,1
2017-02,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,9
2017-02,Replace Smartcard,Driver Licence Card,Merged,1
2017-03,Replace Smartcard,Driver Licence Card,Change Customer Details,1866
2017-03,Replace Smartcard,Driver Licence Card,Condition Change,3384
2017-03,Replace Smartcard,Industry Authority Card,Lost,44
2017-03,Replace Smartcard,Marine Licence Ind Card,Managers Approval,6
2017-03,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,4
2017-05,Replace Smartcard,Industry Authority Card,Change Customer Details,37
2017-04,Replace Smartcard,Driver Licence Card,Stolen,1024
2017-04,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,27
2017-04,Replace Smartcard,Industry Authority Card,Lost,37
2017-05,Replace Smartcard,Photo Identification Card,Disaster Relief,1
2017-04,Replace Smartcard,Photo Identification Card,Managers Approval,24
2017-06,Replace Smartcard,Industry Authority Card,Change Customer Details,31
2017-06,Replace Smartcard,Marine Licence Ind Card,Lost,8
2017-06,Replace Smartcard,Industry Authority Card,Managers Approval,14
2017-07,Replace Smartcard,Driver Licence Card,Stolen,1075
2017-07,Replace Smartcard,Driver Licence Card,Managers Approval,216
2017-07,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,6
2017-07,Replace Smartcard,Driver Licence Card,Faulty,35
2017-07,Replace Smartcard,Photo Identification Card,Damaged,27
2017-08,Replace Smartcard,Driver Licence Card,Condition Change,3625
2017-08,Replace Smartcard,Driver Licence Card,Destroyed,111
2017-08,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,20
2017-08,Replace Smartcard,Photo Identification Card,Destroyed,18
2017-09,Replace Smartcard,Driver Licence Card,Managers Approval,196
2017-08,Replace Smartcard,Marine Licence Ind Card,Faulty,1
2017-08,Replace Smartcard,Photo Identification Card,Merged,1
2017-09,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,12
2017-09,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,4
2017-09,Replace Smartcard,Driver Licence Card,Merged,1
2017-10,Replace Smartcard,Industry Authority Card,Lost,26
2017-10,Replace Smartcard,Marine Licence Ind Card,Managers Approval,2
2017-10,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,15
2017-10,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,16
2017-10,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2017-11,Replace Smartcard,Driver Licence Card,Faulty,35
2017-11,Replace Smartcard,Photo Identification Card,Destroyed,14
2017-11,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,15
2017-11,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,5
2017-12,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,41
2017-12,Replace Smartcard,Marine Licence Ind Card,Lost,13
2017-12,Replace Smartcard,Photo Identification Card,Damaged,20
2018-01,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1609
2018-01,Replace Smartcard,Driver Licence Card,Managers Approval,189
2018-01,Replace Smartcard,Industry Authority Card,Change Customer Details,40
2018-01,Replace Smartcard,Driver Licence Card,Faulty,35
2018-01,Replace Smartcard,Industry Authority Card,Damaged,1
2018-02,Replace Smartcard,Driver Licence Card,Faulty,19
2018-02,Replace Smartcard,Marine Licence Ind Card,Stolen,2
2018-03,Replace Smartcard,Marine Licence Ind Card,Condition Change,3
2018-03,Replace Smartcard,Industry Authority Card,Stolen,12
2018-03,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,31
2018-03,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,36
2018-03,Replace Smartcard,Industry Authority Card,Lost,28
